Második lecke, létige (to be) kikérdező gyakorlata.%n%
én vagyok%I am%
te vagy%you are%
ő van(férfi)%he is%
ő van(nő)%she is%
az van(semleges)%it is%
mi vagyunk%we are%
ti vagytok%you are%
ők vannak%they are%
